"Year","Cited by","Link","Affiliations","Funding Details","Language of Original Document"
"2013","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876961622&doi=10.1080%2f0048721X.2012.705654&partnerID=40&md5=47296c0275c690349dcb8a41bc9ddcdb","Department of Religion, Concordia University, Montreal, QC, Canada","","English"
"2016","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991490371&doi=10.1163%2f15700704-12341303&partnerID=40&md5=5ebba5c9984ab7a2ad67f9b238167e6a","Bard College, Jewish Studies, Campus Road, Annandale-on-Hudson, 12504, NY, United States","","English"
"2013","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875757118&partnerID=40&md5=13ac1e0c8b12e3d30d0f13774e6ae93f","Filozofický Ústav SAV, 813 64 Bratislava 1, SR, Klemensova 19, Slovakia","","Slovak"
"2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925435064&doi=10.5871%2fbacad%2f9780197264744.003.0003&partnerID=40&md5=886878fee959be62f3e7ac879943744c","University of Oxford, United Kingdom; Oxford Centre for Hebrew and Jewish Studies, United Kingdom","","English"
"2009","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-75849154671&partnerID=40&md5=85bf23c9bd650260a296c55c3fff1867","","","Italian"
"2015","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945908095&doi=10.1177%2f0014524614558777&partnerID=40&md5=ebe0cb3f0db2c5eb1ab8dcf5471dbc16","University of Birmingham, United Kingdom","","English"
"2020","19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087744225&doi=10.1093%2foso%2f9780198843252.001.0001&partnerID=40&md5=4d46f116982913a175e979affafd1e67","Department of Philosophy, University of Haifa, Israel","","English"
"2013","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886783498&doi=10.3989%2fhs.2013.031&partnerID=40&md5=31bbd6b38e4ae7c73287e0f046cb5288","Universidad de Buenos Aires, CONICET, Facultad de Filosofía y Letras, Argentina","","Spanish"
"2015","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944515192&doi=10.1007%2fs11841-015-0463-3&partnerID=40&md5=28546cc050a453cc5c483d90bb5a5311","Shalem College, 3 Ha’askan Street, Kiryat Moriah, POB 92, Jerusalem, 937801, Israel; Monash University, Melbourne, Australia","","English"
"2020","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087378685&doi=10.22452%2fafkar.vol22no1.4&partnerID=40&md5=0e0e412c32421054efc1467476f48e88","International Islamic University Malaysia, 53100, Selangor, Malaysia","","English"
"2006","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846152594&doi=10.1300%2fJ095v10n03_08&partnerID=40&md5=c57fe3d158a3a3f357d436288ddacdad","Faculty of Law, Monash University, Melbourne, VIC, Australia","","English"
"2011","19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-61949391327&doi=10.1093%2facprof%3aoso%2f9780195137279.001.0001&partnerID=40&md5=b3ffbed8056f0cb811d9506012c9f666","Georgetown University, United States; University of Toronto, Canada","","English"
"2021","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109417736&doi=10.3390%2frel12070477&partnerID=40&md5=48e8ca6a0f935eac891fc41975a45953","Faculty of Theology, University of Bern, Bern, 3012, Switzerland","","English"
"2016","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006314290&doi=10.5209%2fRESF.53955&partnerID=40&md5=86ff878fc8d124f2ca2589adce7a49ab","Facultad de Filosofía y Ciencias de la Educación, Universidad de Valencia, Spain","","Spanish"
"2009","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-58149512978&doi=10.1007%2fs11153-008-9177-6&partnerID=40&md5=e35fa520c757929bb74ee4010d4e6f15","Tilburg University, Tilburg 5000 LE, P.O. Box 90153, Netherlands","","English"
"2020","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091102625&doi=10.1080%2f00344087.2020.1821301&partnerID=40&md5=1dbf6d85ae597f8965be7a3c283c5cbe","Faculty of Education and Centre for Studies in Religion and Society, University of Victoria, Victoria, BC, Canada","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129043775&doi=10.5325%2fstudamerijewilite.41.1.0034&partnerID=40&md5=b38cf1c283590392752a3ebd82fce5ad","Gustavus Adolphus College, United States","","English"
