"Year","Cited by","Link","Affiliations","Funding Details","Language of Original Document"
"2006","16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-64549140755&doi=10.1163%2f156853506776114456&partnerID=40&md5=e11870d1d6d50ce1f22c2a5ca942cd2e","","","English"
"2019","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068548379&doi=10.3390%2frel10040266&partnerID=40&md5=9a9e15a63762d8404409d3b8bf28770b","Liberal Arts & Sciences Department, Western Illinois University, Macomb, 61455, IL, United States","","English"
"2019","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074276230&doi=10.5281%2fzenodo.3238207&partnerID=40&md5=f9f8b44c952c3bc6bbb1af35afcd57fc","Rhodes College, United States","","English"
"2020","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099509835&partnerID=40&md5=8f1105532e10eff7e7b664258f092a10","Hitit University Faculty of Medicine, Department of Dermatology and Venereology, Çorum, Turkey; Hitit University, Traditional and Complementary Research and Application Center, Çorum, Turkey; Synthite Industries Private Limited, Department of New Product Development and Research,  Kolenchery, Kerala, India","","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109434399&doi=10.25178%2fnit.2021.2.12&partnerID=40&md5=5bf8568c19e29f4fcc4346ff8793946a","Department of Organization and Management of Scientific Research, East Siberia State University of Technology and Management, Postal address: 40B, Klyuchevskaya St., Ulan-Ude, 670013, Russian Federation","Russian Science Foundation, RSF","Russian"
"2020","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107907592&doi=10.15407%2fORIENTW2020.01.109&partnerID=40&md5=dedb8dff7e940a0f58229e519a20bf61","H. S. Skovoroda Institute of Philosophy, NAS of Ukraine, 4, Tryokhsviatitelska Str., Kyiv, 01001, Ukraine","","Ukrainian"
"2017","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031698776&doi=10.3167%2farrs.2017.080107&partnerID=40&md5=0dcfc713a3ef6ef29b22fef80b0b9f97","Centre for Himalayan Studies, Centre National de la Recherche Scientifique, France; Buddhist law and colonial governmentality Indochina, United States","","English"
"2011","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-83455229577&doi=10.1177%2f0037768611421134&partnerID=40&md5=872007a878a85eeb8d2b579ee96ed7ae","Sociology Department, Cambridge, MA 02138, 33 Kirkland Street, United States","","English"
"2012","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920668868&doi=10.1093%2facprof%3aoso%2f9780195372427.003.0003&partnerID=40&md5=773871c276b7c862b2e4819c20aac0ba","AEA Buddhist Studies in Japan program, Antioch University, Japan","","English"
"2009","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350138199&partnerID=40&md5=83552469fafa6631aac47c43a68c5223","Research Institute of Northeastern Arts and Culture, Mahasarakham University, Muang District, Mahasarakham 44000, Thailand; Faculty of Education, Mahasarakham University, Kantharawichai District, Mahasarakham 44150, Thailand","","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112164817&doi=10.1080%2f10477845.2021.1963072&partnerID=40&md5=b9750a3aa61d5eabc56eac5572ad6c8b","University Libraries, Northern Illinois University, DeKalb, Illinios, United States","","English"
"2019","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081252277&doi=10.31166%2fVoprosyIstorii201912Statyi50&partnerID=40&md5=5eb7e58ae6892605eb376ebc47627bf4","Institute for Mongolian, Buddhist and Tibetan Studies of SB RAS, Ulan-Ude, Russian Federation","","Russian"
"2013","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885559945&doi=10.1002%2f9781118324004.ch34&partnerID=40&md5=a4024f1e79cf1d36d6500701180a2599","Harvard University, United States","","English"
"2016","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012005178&partnerID=40&md5=f9769865d4209235f33df9b177946bde","H. A. Yassawe International, Kazakh-Turkish University, Turkistan, Kazakhstan","","English"
"2008","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-60950214920&doi=10.18874%2fjjrs.35.1.2008.61-79&partnerID=40&md5=a4844f4dc2c690f1d3d0071b172a68eb","São Paulo State University","","English"
"2014","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949135838&doi=10.4028%2fwww.scientific.net%2fAMM.638-640.2274&partnerID=40&md5=977b8655e5d79b387639129f4a012135","School of Urban Design, Wuhan University, Wuhan, 430073, China; School of Resources and Civil Engineering, Wuhan Institute of Technology, Wuhan, China","","English"
"2019","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069462945&doi=10.31857%2fS004287440004801-6&partnerID=40&md5=39e78e11082c9c8ed8aa9067f02cab4c","Sun Yat Sen University, Dept. Philosophy, 135, Xingang Xi Rd, Guangzhou, Guangdong, Peoples, 510275, China","Sun Yat-sen University, SYSU","Russian"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126876652&doi=10.21146%2f0042-8744-2022-3-182-192&partnerID=40&md5=a9146d46043d4252ab0d52d54bcbad31","Department of Philosophy, Cultural and Religious Studies, Institute for Mongolian, Buddhist and Tibetan Studies of the Siberian Branch of the Russian Academy of Sciences, 6, Sakhyanovoi str., Ulan-Ude, 670047, Russian Federation","","Russian"
"2013","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892773445&doi=10.1558%2fbsrv.v30i2.261&partnerID=40&md5=e68702f36ca59b15690e57bc99f1d667","Assistant to Arvind Sharma, McGill University, Canada","","English"
"2003","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141991107&doi=10.1055%2fs-2003-42174&partnerID=40&md5=d4b97dbde575e5f561891e8294500725","Arzt fur Psychiat./Psychotherapie, 64297 Darmstadt, Heidelberger Landstraße 171, Germany","","German"
"2012","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861809265&doi=10.1108%2f02621711211230849&partnerID=40&md5=121d1070cf2810a3f73dc2f882b384c2","Woodbury University, Burbank, CA, United States","","English"
