"Year","Cited by","Link","Affiliations","Funding Details","Language of Original Document"
"2020","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091868570&doi=10.21638%2fSPBU20.2020.112&partnerID=40&md5=adc43665de5f27649a44367f9d7e2edb","University of Belgrade, Faculty of Philosophy, Cika Ljubina 18-20, Belgrade, 11000, Serbia; Ministry of Education, Science and Technological Development, (P. No 179064) Nemanjina 22-26, Belgrade, 11000, Serbia","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140925053&doi=10.17159%2ftl.v59i2.13422&partnerID=40&md5=7b66dd835a7b98957078d94217505a2d","","","Afrikaans"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128940709&doi=10.1007%2f978-3-030-97943-0_4&partnerID=40&md5=784f41ecd3324f631a23bf15b7f998b6","University of Eastern Piedmont, Vercelli, Italy","","English"
"1890","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958230112&doi=10.1093%2fnq%2fs7-IX.210.17-b&partnerID=40&md5=e4724d84f016aa80d8dfe43649cd8799","","","English"
"2004","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041081325&doi=10.1515%2f9783110179729.373&partnerID=40&md5=ce445b5fb11471e602bf832cc7b23e7f","","","German"
"2011","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886347361&doi=10.1002%2f9781444396942.ch15&partnerID=40&md5=2edd16e486aba45df24149c082a23593","Institute of Archaeology and Antiquity, University of Birmingham, United Kingdom","","English"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072581581&doi=10.1556%2f068.2018.58.1-4.15&partnerID=40&md5=79345b21e80dd92c39241430d0ef6741","Faculty of History, University of Bucharest, Romania","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136798122&partnerID=40&md5=dc0b7f3e15303e8523fc238324433e80","Academy for Applied Studies Belgrade, Zoran Djindjic Boulevard 152a, Belgrade, SRB-11070, Serbia; National Museum Kruševac, Despot Stefan Sq. 15, Kruševac, SRB-37000, Serbia","","English"
"2014","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946907642&partnerID=40&md5=8986a155ef589083b90cfd663ac2b0e0","Religious Studies, Rhodes College, Memphis, TN, United States","","English"
"1992","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903893553&doi=10.1524%2fklio.1992.74.74.269&partnerID=40&md5=53f881234b6848844bd3c1917eec3966","","","German"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072584958&doi=10.1556%2f068.2018.58.1-4.13&partnerID=40&md5=23bc7c1b0b677d3932108cc03485cc66","","","English"
"2002","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036930981&doi=10.1002%2f1521-3994%28200212%29323%3a6%3c579%3a%3aAID-ASNA579%3e3.0.CO%3b2-W&partnerID=40&md5=09e6498bb481d277d748333366e1416d","Astronomical Observatory, Yu-11000 Belgrade, Volgina 7, Serbia","","English"
"2012","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877680378&doi=10.1080%2f05786967.2012.11834712&partnerID=40&md5=b005632807853f5f9d15bc356ff53305","not available, Houston TX 77056, 5110 San Felipe, United States","","English"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072578291&doi=10.1556%2f068.2018.58.1-4.11&partnerID=40&md5=d0957b54dbea5ed93deef886cd0088f6","Universidad Complutense de Madrid, Spain","","English"
"2013","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885742868&partnerID=40&md5=510154e59fb71d3cc44bb23501b7ee0f","Department for the Study of Religions, Faculty of Arts, Masaryk University, 602 00 Brno, Arna Nováka 1, Czech Republic","","English"
"1990","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025588130&partnerID=40&md5=bea18ace6a8e3fe52558e41063e33233","","","English"
"2011","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-82455251430&partnerID=40&md5=cc6684d2210a29ed2a57135e9764f7f3","Stanford University, United States","","English"
"2020","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109090886&doi=10.2143%2fETL.96.2.3288274&partnerID=40&md5=d786b2ed3910330a80cc6508a1b9eeb4","Stöcklestr. 22/1, Tübingen, DE-72070, Germany","","English"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072566876&doi=10.1556%2f068.2018.58.1-4.14&partnerID=40&md5=15f634b62f0d80f5f4b041dcf1f05338","“Hiberus” Research Group, Universidad de Zaragoza, Spain","","English"
