"Year","Cited by","Link","Affiliations","Funding Details","Language of Original Document"
"2008","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943799149&doi=10.1163%2fej.9789004167223.i-578.28&partnerID=40&md5=949f9b371a931966336fef590eb4337a","Johann Wolfgang Goethe-Universität, Germany","","English"
"2015","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924871983&doi=10.1353%2fearl.2015.0013&partnerID=40&md5=123858f29b41727d278e09674c4f263f","Comparative Religion Program, University of Washington, Seattle, WA, United States","","English"
"1962","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958402413&doi=10.1093%2fjaarel%2fXXX.1.18&partnerID=40&md5=46f52911fef75df1a956509151b2c053","Emory University, Atlanta, GA, United States","","English"
"1993","11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881488193&doi=10.1163%2f156852793X00022&partnerID=40&md5=fbc883cf9621dc646ce070d75c2e512b","Institut für Religionswissenschaft Karl-Franzens-Universität, Graz, Halbärthgasse 2 A - 8010, Austria","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139398611&doi=10.1163%2f18747167-bja10004&partnerID=40&md5=8bfdc5aa0fb766d2053c7cb57ecb197c","Department of Sociology, State University of New York at Stony Brook, Stony Brook, 11794-4356, NY, United States","","English"
"2015","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053023271&doi=10.1163%2f9789004289123_006&partnerID=40&md5=0d54e64d1b0106b1290578064efbef4f","","","English"
"2007","17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-35148858013&doi=10.1215%2f1089201X-2007-017&partnerID=40&md5=1c264ca9b6f463c8e7c9f3fa50fd3c18","Centre Nationale de la Recherche Scientifique; École Pratique des Hautes Études, Section des Sciences Religieuses, Paris, France","","English"
"2005","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-60950504728&partnerID=40&md5=a2358bdaf05aa7a6dfbd2e527559e88b","Shahid Beheshti University, Tehran, Iran; SISU, Faculty of Oriental Studies, Shanghai International Studies University, China","","English"
"2010","27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856447128&doi=10.1163%2f187124110X545155&partnerID=40&md5=861f5aaf2f408186c0e944d491550d54","Faculty of Theology, Faculty of Religious Studies, Radboud University, Nijmegen, Netherlands; Department of Patristics, Faculty of Theology, University of Pretoria, South Africa; NL-3703 AH Zeist, Van Renesselaan 24, Netherlands","","English"
"2002","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-61449363055&doi=10.1177%2f000842980203100106&partnerID=40&md5=d615e94759efcd4168fc33d963db8952","Faculté de théologie et de sciences religieuses et Institut d'études anciennes, Université Laval, Sainte-Foy, Québec GIK 7P4, Canada","","English"
"1956","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958412157&doi=10.1093%2fjts%2fVII.2.248&partnerID=40&md5=15184d1d6d78d65487fb9634366f73f8","","","English"
